tijdstip;locatie;component;waarde;LKI,
2018-08-02 07:00:00+02:00;Amsterdam-Vondelpark;PM25;4,6;1
2018-08-02 07:00:00+02:00;Amsterdam-Vondelpark;PM10;12,5;2
2018-08-02 07:00:00+02:00;Amsterdam-Vondelpark;O3;11,7;1
2018-08-02 07:00:00+02:00;Amsterdam-Vondelpark;NO;2,8;1
2018-08-02 07:00:00+02:00;Amsterdam-Vondelpark;CO;315,2;2
2018-08-02 07:00:00+02:00;Amsterdam-Vondelpark;NO2;32,2;4
2018-08-02 07:00:00+02:00;Amsterdam-Vondelpark;FN;1,09;2
2018-08-02 08:00:00+02:00;Amsterdam-Vondelpark;NO2;39,3;4
2018-08-02 08:00:00+02:00;Amsterdam-Vondelpark;FN;1,66;2
2018-08-02 08:00:00+02:00;Amsterdam-Vondelpark;PM25;8,9;1
2018-08-02 08:00:00+02:00;Amsterdam-Vondelpark;PM10;24,6;3
2018-08-02 08:00:00+02:00;Amsterdam-Vondelpark;O3;6,8;1
2018-08-02 08:00:00+02:00;Amsterdam-Vondelpark;NO;15,2;2
2018-08-02 08:00:00+02:00;Amsterdam-Vondelpark;CO;424,2;2
2018-08-02 09:00:00+02:00;Amsterdam-Vondelpark;PM25;10,7;2
2018-08-02 09:00:00+02:00;Amsterdam-Vondelpark;PM10;24,8;3
2018-08-02 09:00:00+02:00;Amsterdam-Vondelpark;NO;10,8;2
2018-08-02 09:00:00+02:00;Amsterdam-Vondelpark;FN;1,65;2
2018-08-02 09:00:00+02:00;Amsterdam-Vondelpark;NO2;53,9;5
2018-08-02 09:00:00+02:00;Amsterdam-Vondelpark;CO;401,7;2
2018-08-02 09:00:00+02:00;Amsterdam-Vondelpark;O3;32,0;3
2018-08-02 10:00:00+02:00;Amsterdam-Vondelpark;NO2;29,1;3
2018-08-02 10:00:00+02:00;Amsterdam-Vondelpark;FN;0,87;1
2018-08-02 10:00:00+02:00;Amsterdam-Vondelpark;CO;251,5;2
2018-08-02 10:00:00+02:00;Amsterdam-Vondelpark;NO;3,4;1
2018-08-02 10:00:00+02:00;Amsterdam-Vondelpark;O3;68,7;5
2018-08-02 10:00:00+02:00;Amsterdam-Vondelpark;PM25;7,5;1
2018-08-02 10:00:00+02:00;Amsterdam-Vondelpark;PM10;16,5;2
2018-08-02 11:00:00+02:00;Amsterdam-Vondelpark;NO2;52,9;5
2018-08-02 11:00:00+02:00;Amsterdam-Vondelpark;PM10;31,6;4
2018-08-02 11:00:00+02:00;Amsterdam-Vondelpark;CO;298,3;2
2018-08-02 11:00:00+02:00;Amsterdam-Vondelpark;PM25;5,5;1
2018-08-02 11:00:00+02:00;Amsterdam-Vondelpark;O3;67,3;5
2018-08-02 11:00:00+02:00;Amsterdam-Vondelpark;FN;1,39;2
2018-08-02 11:00:00+02:00;Amsterdam-Vondelpark;NO;10,6;2
2018-08-02 12:00:00+02:00;Amsterdam-Vondelpark;NO;6,4;1
2018-08-02 12:00:00+02:00;Amsterdam-Vondelpark;O3;75,0;5
2018-08-02 12:00:00+02:00;Amsterdam-Vondelpark;FN;1,11;2
2018-08-02 12:00:00+02:00;Amsterdam-Vondelpark;PM10;27,0;3
2018-08-02 12:00:00+02:00;Amsterdam-Vondelpark;PM25;10,7;2
2018-08-02 12:00:00+02:00;Amsterdam-Vondelpark;NO2;40,7;4
2018-08-02 13:00:00+02:00;Amsterdam-Vondelpark;PM10;31,3;4
2018-08-02 13:00:00+02:00;Amsterdam-Vondelpark;CO;212,1;1
2018-08-02 13:00:00+02:00;Amsterdam-Vondelpark;FN;1,42;2
2018-08-02 13:00:00+02:00;Amsterdam-Vondelpark;O3;58,8;4
2018-08-02 14:00:00+02:00;Amsterdam-Vondelpark;O3;72,0;5
2018-08-02 14:00:00+02:00;Amsterdam-Vondelpark;CO;297,7;2
2018-08-02 14:00:00+02:00;Amsterdam-Vondelpark;FN;1,14;2
2018-08-02 14:00:00+02:00;Amsterdam-Vondelpark;PM10;28,3;3
2018-08-02 14:00:00+02:00;Amsterdam-Vondelpark;PM25;16,7;3
2018-08-02 15:00:00+02:00;Amsterdam-Vondelpark;NO;1,1;1
2018-08-02 15:00:00+02:00;Amsterdam-Vondelpark;O3;102,0;7
2018-08-02 15:00:00+02:00;Amsterdam-Vondelpark;NO2;15,9;2
2018-08-02 15:00:00+02:00;Amsterdam-Vondelpark;PM25;5,7;1
2018-08-02 15:00:00+02:00;Amsterdam-Vondelpark;PM10;19,1;2
2018-08-02 15:00:00+02:00;Amsterdam-Vondelpark;FN;0,5;1
2018-08-02 16:00:00+02:00;Amsterdam-Vondelpark;NO;1,1;1
2018-08-02 16:00:00+02:00;Amsterdam-Vondelpark;CO;207,8;1
2018-08-02 16:00:00+02:00;Amsterdam-Vondelpark;PM10;10,1;2
2018-08-02 16:00:00+02:00;Amsterdam-Vondelpark;NO2;14,3;2
2018-08-02 16:00:00+02:00;Amsterdam-Vondelpark;PM25;4,8;1
2018-08-02 16:00:00+02:00;Amsterdam-Vondelpark;FN;0,48;1
2018-08-02 17:00:00+02:00;Amsterdam-Vondelpark;NO;0,6;1
2018-08-02 17:00:00+02:00;Amsterdam-Vondelpark;CO;211,8;1
2018-08-02 17:00:00+02:00;Amsterdam-Vondelpark;NO2;11,9;2
2018-08-02 17:00:00+02:00;Amsterdam-Vondelpark;PM25;4,6;1
2018-08-02 17:00:00+02:00;Amsterdam-Vondelpark;PM10;17,3;2
2018-08-02 17:00:00+02:00;Amsterdam-Vondelpark;FN;0,48;1
2018-08-02 17:00:00+02:00;Amsterdam-Vondelpark;O3;106,2;7
2018-08-02 18:00:00+02:00;Amsterdam-Vondelpark;NO;0,3;1
2018-08-02 18:00:00+02:00;Amsterdam-Vondelpark;CO;220,6;1
2018-08-02 18:00:00+02:00;Amsterdam-Vondelpark;NO2;9,3;1
2018-08-02 18:00:00+02:00;Amsterdam-Vondelpark;PM10;17,9;2
2018-08-02 18:00:00+02:00;Amsterdam-Vondelpark;FN;0,54;1
2018-08-02 18:00:00+02:00;Amsterdam-Vondelpark;O3;111,7;7
2018-08-02 18:00:00+02:00;Amsterdam-Vondelpark;PM25;5,6;1
2018-08-02 19:00:00+02:00;Amsterdam-Vondelpark;PM10;18,3;2
2018-08-02 19:00:00+02:00;Amsterdam-Vondelpark;NO2;11,0;2
2018-08-02 19:00:00+02:00;Amsterdam-Vondelpark;PM25;6,0;1
2018-08-02 19:00:00+02:00;Amsterdam-Vondelpark;FN;0,55;1
2018-08-02 19:00:00+02:00;Amsterdam-Vondelpark;O3;114,7;7
2018-08-02 19:00:00+02:00;Amsterdam-Vondelpark;NO;0,3;1
2018-08-02 19:00:00+02:00;Amsterdam-Vondelpark;CO;235,8;1
2018-08-02 20:00:00+02:00;Amsterdam-Vondelpark;O3;110,7;7
